"customer_id,age,gender,city,email"
"C000001,61,Other,Lisbon,user1@example.com"
"C000002,61,Female,Coimbra,user2@example.com"
"C000003,22,Female,Faro,user3@example.com"
"C000004,46,Other,Lisbon,Unknown"
"C000005,47,Other,Faro,user5@example.com"
"C000006,59,Female,Faro,user6@example.com"
"C000007,52,Female,Faro,user7@example.com"
"C000008,59,Other,Lisbon,user8@example.com"
"C000009,49,Female,Braga,user9@example.com"
"C000010,48,Male,Braga,user10@example.com"
"C000011,20,Male,Braga,user11@example.com"
"C000012,32,Female,Coimbra,user12@example.com"
"C000013,49,Other,Porto,user13@example.com"
"C000014,45,Male,Faro,user14@example.com"
"C000015,18,Male,Faro,user15@example.com"
"C000016,23,Female,Lisbon,user16@example.com"
"C000017,27,Female,Faro,user17@example.com"
"C000018,63,Other,Porto,Unknown"
"C000019,52,Female,Porto,user19@example.com"
"C000020,68,Other,Coimbra,user20@example.com"
"C000021,62,Female,Lisbon,user21@example.com"
"C000022,23,Female,Lisbon,user22@example.com"
"C000023,40,Male,Braga,user23@example.com"
"C000024,42,Female,Faro,user24@example.com"
"C000025,29,Male,Braga,user25@example.com"
"C000026,65,Other,Faro,user26@example.com"
"C000027,36,Male,Porto,user27@example.com"
"C000028,25,Male,Faro,Unknown"
"C000029,51,Male,Porto,user29@example.com"
"C000030,37,Other,Coimbra,user30@example.com"
"C000031,31,Other,Coimbra,user31@example.com"
"C000032,36,Male,Faro,user32@example.com"
"C000033,39,Male,Porto,user33@example.com"
"C000034,26,Male,Lisbon,user34@example.com"
"C000035,27,Male,Porto,user35@example.com"
"C000036,54,Male,Porto,user36@example.com"
"C000037,50,Male,Lisbon,user37@example.com"
"C000038,40,Other,Lisbon,Unknown"
"C000039,67,Male,Lisbon,user39@example.com"
"C000040,54,Male,Lisbon,user40@example.com"
"C000041,21,Other,Faro,user41@example.com"
"C000042,52,Other,Coimbra,user42@example.com"
"C000043,55,Female,Lisbon,user43@example.com"
"C000044,35,Male,Faro,user44@example.com"
"C000045,51,Other,Coimbra,user45@example.com"
"C000046,64,Male,Porto,user46@example.com"
"C000047,22,Male,Coimbra,user47@example.com"
"C000048,19,Male,Porto,user48@example.com"
"C000049,38,Female,Braga,user49@example.com"
"C000050,29,Other,Porto,user50@example.com"
"C000051,44,Other,Braga,user51@example.com"
"C000052,39,Female,Porto,user52@example.com"
"C000053,35,Female,Faro,user53@example.com"
"C000054,43,Female,Coimbra,Unknown"
"C000055,49,Female,Coimbra,user55@example.com"
"C000056,65,Other,Coimbra,user56@example.com"
"C000057,67,Other,Braga,user57@example.com"
"C000058,59,Other,Porto,user58@example.com"
"C000059,68,Female,Lisbon,user59@example.com"
"C000060,52,Other,Coimbra,user60@example.com"
"C000061,68,Male,Coimbra,user61@example.com"
"C000062,58,Male,Faro,user62@example.com"
"C000063,67,Other,Coimbra,user63@example.com"
"C000064,44,Male,Coimbra,user64@example.com"
"C000065,49,Female,Braga,user65@example.com"
"C000066,21,Other,Braga,user66@example.com"
"C000067,63,Female,Coimbra,user67@example.com"
"C000068,56,Other,Braga,user68@example.com"
"C000069,59,Other,Coimbra,user69@example.com"
"C000070,33,Female,Lisbon,user70@example.com"
"C000071,64,Male,Faro,user71@example.com"
"C000072,29,Other,Porto,user72@example.com"
"C000073,67,Male,Porto,user73@example.com"
"C000074,54,Other,Braga,user74@example.com"
"C000075,36,Other,Porto,user75@example.com"
"C000076,47,Male,Porto,user76@example.com"
"C000077,30,Male,Lisbon,user77@example.com"
"C000078,35,Male,Lisbon,user78@example.com"
"C000079,48,Other,Braga,user79@example.com"
"C000080,18,Female,Lisbon,user80@example.com"
"C000081,45,Female,Coimbra,user81@example.com"
"C000082,45,Male,Lisbon,user82@example.com"
"C000083,22,Female,Porto,user83@example.com"
"C000084,18,Other,Faro,user84@example.com"
"C000085,28,Other,Lisbon,user85@example.com"
"C000086,53,Male,Lisbon,user86@example.com"
"C000087,59,Other,Faro,user87@example.com"
"C000088,69,Female,Porto,user88@example.com"
"C000089,44,Male,Lisbon,user89@example.com"
"C000090,18,Male,Faro,user90@example.com"
"C000091,47,Other,Faro,user91@example.com"
"C000092,59,Male,Faro,user92@example.com"
"C000093,19,Other,Braga,user93@example.com"
"C000094,16,Female,Faro,user94@example.com"
"C000095,69,Other,Lisbon,user95@example.com"
"C000096,28,Other,Faro,user96@example.com"
"C000097,22,Male,Coimbra,user97@example.com"
"C000098,27,Male,Braga,user98@example.com"
"C000099,21,Male,Porto,user99@example.com"
"C000100,26,Male,Coimbra,user100@example.com"
"C000101,45,Other,Braga,user101@example.com"
"C000102,20,Female,Coimbra,user102@example.com"
"C000103,23,Other,Lisbon,user103@example.com"
"C000104,48,Male,Braga,user104@example.com"
"C000105,64,Male,Lisbon,user105@example.com"
"C000106,18,Male,Faro,user106@example.com"
"C000107,43,???,Coimbra,user107@example.com"
"C000108,20,Female,Lisbon,user108@example.com"
"C000109,56,Male,Porto,user109@example.com"
"C000110,55,Male,Coimbra,user110@example.com"
"C000111,33,Female,Coimbra,user111@example.com"
"C000112,40,Other,Porto,user112@example.com"
"C000113,38,Other,Braga,user113@example.com"
